#ID	SMILES	T	P	density	weight	HVap	weight
8	C=C	104	1	0.648660174048983	1	16.396284342376276	100
8	C=C	120	1	0.6301415035007998	1	15.74536387873472	100
8	C=C	136	1	0.6108568867264743	1	15.056821058544172	100
8	C=C	152	1	0.5906653149540421	1	14.323971557142913	100
8	C=C	168	1	0.5693785281356588	1	13.537933971021115	100
9	CC=C	88	1	0.7644739351798022	1	23.64222206561356	100
9	CC=C	122	1	0.7299098118535478	1	22.558421915216375	100
9	CC=C	156	1	0.6935918241387281	1	21.37219028175009	100
9	CC=C	190	1	0.6550206112125873	1	20.05439440650197	100
9	CC=C	224	1	0.6134239228082142	1	18.55969681319082	100
10	CCC=C	88	1	0.7985440630287606	1	30.43994082780316	100
10	CCC=C	132	1	0.7604419554925527	1	28.783628437251892	100
10	CCC=C	176	1	0.7200554797403819	1	26.965259863476	100
10	CCC=C	220	1	0.6766651679989004	1	24.934575776843086	100
10	CCC=C	264	1	0.6290995727071201	1	22.609775208102974	100
12	CC(=C)C	133	1	0.7579009717870059	1	28.387923702050426	100
12	CC(=C)C	166	1	0.7284458611313462	1	27.060512889677042	100
12	CC(=C)C	199	1	0.6973830057047089	1	25.622049613423698	100
12	CC(=C)C	232	1	0.6642972395013732	1	24.04406809037222	100
12	CC(=C)C	265	1	0.6285673013996282	1	22.28398094282301	100
13	C=CCCC=C	132	1	0.8212410943504537	1	36.61194781874289	100
13	C=CCCC=C	182	1	0.7844169089015182	1	34.71393239935471	100
13	C=CCCC=C	232	1	0.7451325739715957	1	32.62232914297811	100
13	C=CCCC=C	282	1	0.7026133090694652	1	30.275763205776332	100
13	C=CCCC=C	332	1	0.6555915249677606	1	27.573592767027424	100
##14	C/C=C\C	134	1	0.7827334007333308	1	29.960315698710144	100
##14	C/C=C\C	169	1	0.7513138436234307	1	28.577693270345172	100
##14	C/C=C\C	204	1	0.7182445917769114	1	27.077945867073332	100
##14	C/C=C\C	239	1	0.6830972100441275	1	25.430844208446146	100
##14	C/C=C\C	274	1	0.6452301640164202	1	23.591071449640516	100
##15	C/C=C/C	167	1	0.7354328379322411	1	27.739478705212672	100
##15	C/C=C/C	193	1	0.7111773205236921	1	26.70250239110643	100
##15	C/C=C/C	219	1	0.6858275281936154	1	25.589928970287616	100
##15	C/C=C/C	245	1	0.6591532173965445	1	24.38571608700174	100
##15	C/C=C/C	271	1	0.6308344907357922	1	23.067502748356432	100
##17	CC#C	170	1	0.7625533005758399	1	26.33309745290266	100
##17	CC#C	190	1	0.7413318824214156	1	25.402040139946685	100
##17	CC#C	210	1	0.7192704835565216	1	24.416756370240094	100
##17	CC#C	230	1	0.696222401842926	1	23.36790615510826	100
##17	CC#C	250	1	0.6719945813644199	1	22.243214995345806	100
##18	CCC#C	147	1	0.8066971843116907	1	32.42736328340758	100
##18	CCC#C	180	1	0.7755575871611189	1	30.70153725987977	100
##18	CCC#C	213	1	0.7428542837882872	1	28.855095747502403	100
##18	CCC#C	246	1	0.7082034515212721	1	26.860225631240464	100
##18	CCC#C	279	1	0.6710426821923017	1	24.676611663373937	100
##19	CC#CC	241	1	0.7434344569626702	1	29.324097739422342	100
##19	CC#CC	255	1	0.7299138711580421	1	28.681448733402046	100
##19	CC#CC	269	1	0.7160625000645748	1	28.014403861915913	100
##19	CC#CC	283	1	0.7018453035983622	1	27.32038422601484	100
##19	CC#CC	297	1	0.6872208551276299	1	26.596338985463923	100
29	CO	175	1	0.8860532897187428	1	45.04177715733611	100
29	CO	215	1	0.8562510789664344	1	42.95029075170268	100
29	CO	255	1	0.8243693564357576	1	40.675357128100565	100
29	CO	295	1	0.7898522944337437	1	38.16803932108747	100
29	CO	335	1	0.751853840437386	1	35.35404056042535	100
30	CCO	159	1	0.8961044131692038	1	52.865448311666256	100
30	CCO	207	1	0.8613631125833268	1	50.04493832882498	100
30	CCO	255	1	0.823836708200841	1	46.93792242972673	100
30	CCO	303	1	0.7826342361187398	1	43.45305391158018	100
30	CCO	351	1	0.7362837220255828	1	39.43993832597958	100
#33	CCCCCO	184	1	0.8937786029283552	1	68.64318473050571	100
#33	CCCCCO	235	1	0.8587781536405358	1	63.83933955960279	100
#33	CCCCCO	286	1	0.821347368363423	1	58.6983402753489	100
#33	CCCCCO	337	1	0.7807746958713023	1	53.13202673119105	100
#33	CCCCCO	388	1	0.7359332060277898	1	47.00473802423894	100
39	COC	132	1	0.8623787613399438	1	26.762651861273046	100
39	COC	161	1	0.8313917826564627	1	25.6233904405457	100
39	COC	190	1	0.7988391574874723	1	24.3948557974019	100
39	COC	219	1	0.7643526545143532	1	23.056074482849088	100
39	COC	248	1	0.727400446020503	1	21.57672153500451	100
40	CCOCC	157	1	0.858197865597579	1	35.52036779075668	100
40	CCOCC	194	1	0.8219745711908584	1	33.72781713368897	100
40	CCOCC	231	1	0.783857434820343	1	31.784452393583713	100
40	CCOCC	268	1	0.7433323341549836	1	29.65042448920938	100
40	CCOCC	305	1	0.6996169675493862	1	27.265242298605127	100
45	COCCOC	215	1	0.94204332446835	1	39.12644631768599	100
45	COCCOC	250	1	0.9108022725519906	1	37.58205788963386	100
45	COCCOC	285	1	0.8778804151094812	1	35.909223911810265	100
45	COCCOC	320	1	0.8428792106237809	1	34.07680876490848	100
45	COCCOC	355	1	0.8052206724847418	1	32.039425374883315	100
