
#No	Formula	CAS	SMILES	Tfus	Tvap	Tc	CID	Remark
1	CH4	74-82-8	C	91	112	191	kc6RC6SXN7	alkane
2	C2H6	74-84-0	CC	90	185	305	kcC8NMGVOU	alkane
3	C3H8	74-98-6	CCC	86	231	370	kcDIUL4W35	alkane
4	C4H10	75-28-5	CC(C)C	114	261	408	kcF5VXJ39Y	alkane
5	C4H8	287-23-0	C1CCC1	182	286	460	kc2GPDR0HW	alkane
6	C4H8	594-11-6	CC1CC1	96	274	438	kcGWOV8XAJ	alkane
7	C5H12	109-66-0	CCCCC	143	309	470	kcBV8E6SGB	alkane
8	C5H10	287-92-3	C1CCCC1	180	322	512	kcQLXJRS0K	alkane
9	C5H12	78-78-4	CCC(C)C	113	301	460	kcICDD16A8	alkane
10	C5H12	463-82-1	CC(C)(C)C	257	283	434	kcAU145Z3D	alkane
11	C5H10	1191-96-4	CCC1CC1	124	309	482	kc2DVYBHZL	alkane
12	C5H10	598-61-8	CC1CCC1	None	310	489	kcXCJUSFI5	alkane
13	C5H10	1630-94-0	CC1(C)CC1	164	294	475	kc016DAMMN	alkane
14	C5H10	930-18-7	C[C@@H]1C[C@@H]1C	132	310	493	kcXVFBAUM6	alkane
15	C5H10	2402-06-4	C[C@@H]1C[C@H]1C	123	301	479	kcZFT314C5	alkane
16	C6H12	110-82-7	C1CCCCC1	280	354	554	kc4K7FP62C	alkane
17	C6H14	107-83-5	CCCC(C)C	120	333	498	kc5OR4NDIC	alkane
18	C6H14	96-14-0	CCC(CC)C	110	336	505	kcO1Z47U3R	alkane
19	C6H12	4806-61-5	CCC1CCC1	130	344	528	kcPHVKDJ1U	alkane
20	C6H12	2415-72-7	CCCC1CC1	None	342	517	kc7RKJOK67	alkane
21	C6H12	96-37-7	CC1CCCC1	131	345	533	kc9U3PYN2I	alkane
22	C6H14	79-29-8	CC(C(C)C)C	145	331	500	kc1OKZ757S	alkane
23	C6H14	75-83-2	CCC(C)(C)C	174	323	489	kcIQQRMB3Z	alkane
24	C6H10	5685-46-1	C1CC1C1CC1	191	349	544	kcKQ8GII1Y	alkane
25	C6H12	15679-02-4	C[C@@H]1CC[C@H]1C	151	330	510	kc2D1DUS2X	alkane
26	C6H12	7411-24-7	CC1CC(C1)C	None	331	522	kcM7RMFCFN	alkane
27	C6H12	3638-35-5	CC(C1CC1)C	160	332	508	kcKLT1Q5RC	alkane
28	C6H12	42984-19-0	CC1C(C1C)C	None	314	529	kcIJQC2EA4	alkane
29	C6H12	2398-09-6	C[C@@H]1C[C@@H](C1)C	None	334	516	kcHO5PA6YB	alkane
30	C6H12	4127-45-1	CC1CC1(C)C	135	326	512	kcDMC0HQWO	alkane
31	C6H12	19217-47-1	CCC1CC1C	None	330	503	kcTM3FHPZ8	alkane
32	C6H12	53778-43-1	CCC1(C)CC1	143	330	518	kcXSVL7EZD	alkane
33	C6H12	2398-10-9	C[C@@H]1C[C@H](C1)C	None	330	520	kcD8DHNUXM	alkane
34	C6H12	19781-68-1	CC[C@@H]1C[C@@H]1C	None	339	526	kcIYDCXXJF	alkane
35	C6H12	4806-58-0	C[C@@H]1[C@@H]([C@@H]1C)C	None	314	486	kcS47XXS0F	alkane
36	C6H12	4806-59-1	C[C@@H]1[C@H]([C@@H]1C)C	None	333	515	kcQS4PUNWF	alkane
37	C6H12	19781-69-2	CC[C@@H]1C[C@H]1C	None	332	513	kc7MHF8MF6	alkane
38	C7H14	108-87-2	CC1CCCCC1	147	374	572	kcVCZ9LC0T	alkane
39	C7H14	291-64-5	C1CCCCCC1	265	392	604	kcA2B0B938	alkane
40	C7H16	589-34-4	CCCC(CC)C	154	365	535	kcIOCYP1VY	alkane
41	C7H16	591-76-4	CCCCC(C)C	155	363	530	kcUQ0KSVU0	alkane
42	C7H16	617-78-7	CCC(CC)CC	155	367	541	kc28QTLS3Q	alkane
43	C7H14	930-57-4	CCCCC1CC1	148	372	554	kcVY20L3G6	alkane
44	C7H14	4806-62-6	CCCC1CCC1	None	374	569	kcUUFHPCXM	alkane
45	C7H14	1640-89-7	CCC1CCCC1	135	377	569	kcHOE90IGV	alkane
46	C7H16	565-59-3	CCC(C(C)C)C	140	363	537	kcRKUD1WBD	alkane
47	C7H16	590-35-2	CCCC(C)(C)C	149	352	520	kc2XB4PD81	alkane
48	C7H16	6131-24-4	CCC[C@H](CC)C	None	365	535	kcFS3ZXK6U	alkane
49	C7H16	562-49-2	CCC(CC)(C)C	139	359	536	kc2Q0F1LEG	alkane
50	C7H16	108-08-7	CC(CC(C)C)C	154	354	520	kcEB8V9FGS	alkane
51	C7H12	279-23-2	C1CC2CC1CC2	360	381	586	kc34N1K4LZ	alkane
52	C7H16	464-06-2	CC(C(C)(C)C)C	249	354	531	kc7KXI7APS	alkane
53	C7H12	61123-21-5	C1CC(C1)C1CC1	None	378	581	kcQOXO3C1L	alkane
54	C7H14	1003-19-6	CCC1(CC)CC1	167	362	546	kcPHWOCSMY	alkane
55	C7H14	872-56-0	CC(C1CCC1)C	167	366	554	kcSQP9EIN3	alkane
56	C7H16	7485-45-2	CC[C@@H](C(C)C)C	None	363	540	kcJY2N3VK1	alkane
57	C7H16	54665-46-2	CC[C@H](C(C)C)C	None	361	537	kcR442OL1W	alkane
58	C7H14	1638-26-2	CC1(C)CCCC1	204	361	557	kc8ZRRQGC9	alkane
59	C7H14	2452-99-5	CC1CCCC1C	None	370	562	kcP3GR94QC	alkane
60	C7H14	5750-02-7	CCC(C1CC1)C	None	364	542	kc13J8IHCO	alkane
61	C7H14	2453-00-1	CC1CCC(C1)C	133	364	551	kcOL6V7LO3	alkane
62	C7H14	71032-67-2	CC[C@@H]1C[C@@H]1CC	None	367	554	kcJQ8QFGEZ	alkane
63	C7H14	1192-18-3	C[C@@H]1CCC[C@@H]1C	219	373	566	kc9I94IVMU	alkane
64	C7H14	2532-58-3	C[C@@H]1CC[C@@H](C1)C	139	365	552	kcZY6NVEO3	alkane
65	C7H12	5685-47-2	C1CC1CC1CC1	170	376	571	kcM7NWZORA	alkane
66	C7H14	71032-66-1	CC[C@@H]1C[C@H]1CC	None	360	543	kcAJB5A7PB	alkane
67	C7H14	19217-48-2	CCCC1CC1C	None	374	565	kcQ236HNPC	alkane
68	C7H12	61975-75-5	CC1(CC1)C1CC1	None	367	567	kc02HVKK58	alkane
69	C7H14	1759-58-6	C[C@@H]1CC[C@H](C1)C	139	364	551	kcSTBMV0S9	alkane
70	C7H14	822-50-4	C[C@@H]1CCC[C@H]1C	155	365	555	kcSBK3K5A0	alkane
71	C7H14	57703-42-1	CC[C@@H]1C[C@@H](C1)C	None	364	550	kcYQT5QZLR	alkane
72	C7H14	4127-47-3	CC1(C)CC1(C)C	192	349	536	kcII9UTDI0	alkane
73	C7H14	41845-47-0	CCC1CC1(C)C	None	352	532	kcL2SZTSGW	alkane
74	C7H14	57703-43-2	CC[C@@H]1C[C@H](C1)C	None	361	545	kc17W7W7HW	alkane
75	C7H14	13150-79-3	CC(C1(C)CC1)C	None	355	541	kcE9LTX9SK	alkane
76	C7H14	78757-65-0	CC(C1CC1C)C	None	355	536	kcCIG7G0RO	alkane
77	C7H14	219783-04-7	CCC[C@H]1C[C@H]1C	None	370	558	kcQ74C8JUW	alkane
78	C7H14	946084-37-3	CCC[C@@H]1C[C@H]1C	None	362	547	kc0XXW17WR	alkane
79	C7H14	None	CCC1[C@@H]([C@H]1C)C	None	357	540	kcPK1G2RY1	alkane
80	C7H14	None	CCC1[C@H]([C@H]1C)C	None	371	561	kcKOVCNMVS	alkane
81	C8H18	111-65-9	CCCCCCCC	216	399	570	kcWKJUHG0G	alkane
82	C8H16	292-64-8	C1CCCCCCC1	288	424	647	kcC6EONKFC	alkane
83	C8H18	619-99-8	CCCC(CC)CC	None	392	565	kcMLPDKCSS	alkane
84	C8H18	589-53-7	CCCC(CCC)C	152	391	562	kcKQWVU9VS	alkane
85	C8H18	589-81-1	CCCCC(CC)C	153	392	564	kc64G26U10	alkane
