
#No	Formula	CAS	SMILES	Tfus	Tvap	Tc	CID	Remark
1	C2H4	74-85-1	C=C	104	169	282	kcMXK6EZRA	CHON
2	C3H6	115-07-1	CC=C	88	226	364	kcD0HOGFC1	CHON
3	C4H8	106-98-9	CCC=C	88	267	419	kcTBQLQCDB	CHON
4	C4H8	590-18-1	C/C=C\C	134	277	436	kcCP85PPU2	CHON
5	C4H8	624-64-6	C/C=C/C	168	274	429	kc66Q6IXSO	CHON
6	C4H8	115-11-7	CC(=C)C	132	266	418	kcXNDBA8PC	CHON
7	C4H6	106-99-0	C=CC=C	164	269	425	kcTA0TOQLS	CHON
8	C4H8	107-01-7	CC=CC	None	276	433	kcY9CYUUML	CHON
9	C5H10	109-67-1	CCCC=C	108	303	465	kcPUCXLNTL	CHON
10	C5H8	142-29-0	C1CC=CC1	138	317	506	kc3VCKNZBA	CHON
11	C5H10	627-20-3	CC/C=C\C	122	310	475	kc71BM7Q8O	CHON
12	C5H10	646-04-8	CC/C=C/C	133	309	474	kcF057BO2G	CHON
13	C5H8	504-60-9	CC=CC=C	None	315	488	kcRHLLP4GB	CHON
14	C5H8	591-93-5	C=CCC=C	125	299	462	kc1LM8H22M	CHON
15	C5H10	513-35-9	CC=C(C)C	139	312	470	kcRTVH4PSL	CHON
16	C5H10	563-46-2	CCC(=C)C	136	304	467	kc0KQH12LN	CHON
17	C5H10	563-45-1	C=CC(C)C	105	293	453	kcGG7VUXNT	CHON
18	C5H8	693-86-7	C=CC1CC1	161	314	494	kcQXALUSKR	CHON
19	C5H8	2004-70-8	C/C=C/C=C	186	315	487	kc0GJTQ2P5	CHON
20	C5H8	1574-41-0	C/C=C\C=C	132	317	490	kcYY9UX04S	CHON
21	C5H8	78-79-5	C=CC(=C)C	127	307	475	kcPKYGJBZC	CHON
22	C5H10	109-68-2	CCC=CC	129	309	474	kcEO1HTX9M	CHON
23	C6H6	71-43-2	c1ccccc1	279	353	562	kcHI90KHJY	CHON
24	C6H12	592-41-6	CCCCC=C	133	337	504	kcN1SE60PF	CHON
25	C6H10	110-83-8	C1CCC=CC1	170	356	560	kc3LR0TKL6	CHON
26	C6H10	592-45-0	C=CCC=CC	None	339	511	kcVVB6ZADF	CHON
27	C6H10	592-42-7	C=CCCC=C	133	332	502	kcQMLF7OJO	CHON
28	C6H12	7688-21-3	CCC/C=C\C	132	342	513	kcO0GJIHUV	CHON
29	C6H12	13269-52-8	CC/C=C/CC	159	340	507	kcHAKSDLHE	CHON
30	C6H12	4050-45-7	CCC/C=C/C	140	341	509	kcTUI8TGFE	CHON
31	C6H12	7642-09-3	CC/C=C\CC	134	340	510	kc3BPGNFHK	CHON
32	C6H12	592-47-2	CCC=CCC	None	340	502	kcQU0DPAB2	CHON
33	C6H10	7318-67-4	C=CC/C=C\C	None	338	527	kcPFP5ZX3Z	CHON
34	C6H8	2235-12-3	C=CC=CC=C	261	353	538	kcGZ2RNTXT	CHON
35	C6H12	625-27-4	CCC=C(C)C	138	340	509	kcJ250B419	CHON
36	C6H12	763-29-1	CCCC(=C)C	137	335	502	kcPT0ILW09	CHON
37	C6H12	691-37-2	C=CCC(C)C	119	327	493	kcH1WXGC1F	CHON
38	C6H12	4461-48-7	CC=CC(C)C	None	328	492	kcSA6V86O6	CHON
39	C6H12	760-20-3	CC(C=C)CC	119	327	490	kcDUTVIMN9	CHON
40	C6H10	14596-92-0	CC/C=C\C=C	None	346	523	kc0HZDM7VV	CHON
41	C6H8	628-41-1	C1=CCC=CC1	224	363	570	kcRUPZLS5R	CHON
42	C6H10	7319-00-8	C=CC/C=C/C	None	338	510	kcJVSKKDE3	CHON
43	C6H8	592-57-4	C1CC=CC=C1	161	353	558	kc70GEKBZ8	CHON
44	C6H10	20237-34-7	CC/C=C/C=C	171	345	522	kcDC5MTK6P	CHON
45	C6H12	760-21-4	CCC(=C)CC	141	338	506	kcJ8B69QPP	CHON
46	C6H12	558-37-2	C=CC(C)(C)C	158	314	477	kcPO1SI8XI	CHON
47	C6H12	563-78-0	CC(=C)C(C)C	116	329	498	kc9NYQP2F4	CHON
48	C6H12	563-79-1	CC(=C(C)C)C	199	346	521	kc8T2J14O6	CHON
49	C6H10	5194-50-3	C/C=C\C=C\C	177	357	538	kcPK76X235	CHON
50	C6H10	5194-51-4	C/C=C/C=C/C	228	356	537	kcCAZ7UY6W	CHON
51	C6H8	2612-46-6	C=C/C=C\C=C	None	355	541	kc5WAWM4MP	CHON
52	C6H8	821-07-8	C=C/C=C/C=C	None	351	538	kc3E4D2WGR	CHON
53	C6H10	6108-61-8	C/C=C\C=C/C	204	358	541	kc55VRJBRI	CHON
54	C6H10	4549-74-0	CC=C(C=C)C	None	350	528	kcI4P7TYAM	CHON
55	C6H12	922-62-3	CC/C(=C\C)/C	138	344	516	kcBZAWI7S4	CHON
56	C6H12	691-38-3	C/C=C\C(C)C	None	330	496	kcMANJGGIG	CHON
57	C6H10	763-30-4	C=CCC(=C)C	None	329	497	kc13T3C5FS	CHON
58	C6H10	926-56-7	C=CC=C(C)C	203	349	527	kcYKABFAZS	CHON
59	C6H10	1115-08-8	C=CC(C=C)C	None	325	487	kcN5U8BOF0	CHON
60	C6H10	693-89-0	CC1=CCCC1	147	349	544	kcLS2EK8EG	CHON
61	C6H10	1759-81-5	CC1CC=CC1	146	348	539	kcF9IGNYVN	CHON
62	C6H12	616-12-6	CC/C(=C/C)/C	135	341	507	kc2D5JZR20	CHON
63	C6H12	674-76-0	C/C=C/C(C)C	None	332	497	kcT0DY1B13	CHON
64	C6H12	5026-95-9	C[C@H](C=C)CC	None	327	490	kcNYRASPFC	CHON
65	C6H10	1118-58-7	CC=CC(=C)C	None	349	527	kc18ZE8ZGN	CHON
66	C6H12	39914-58-4	C[C@@H](C=C)CC	None	326	488	kcK2T2BESK	CHON
67	C6H10	1120-62-3	CC1CCC=C1	None	338	537	kcNQY8D439	CHON
68	C6H10	3404-63-5	CCC(=C)C=C	None	346	521	kcGBG5H2BV	CHON
69	C6H10	1528-30-9	C=C1CCCC1	146	349	542	kcD5J1QHBY	CHON
70	C6H10	513-81-5	CC(=C)C(=C)C	197	342	516	kcY3NJXL3V	CHON
71	C6H10	1501-60-6	C/C=C\C(=C)C	None	341	512	kcUX1BYY0W	CHON
72	C6H10	926-54-5	C/C=C/C(=C)C	None	349	527	kcB75LPXNT	CHON
73	C6H8	13753-03-2	C=CC(=C)C=C	None	328	484	kcWRZUZG5A	CHON
74	C6H10	39750-38-4	C[C@@H]1CCC=C1	None	350	532	kc66Z5E12P	CHON
75	C6H10	4663-22-3	CC(=C)C1CC1	171	343	521	kc26CQVZNB	CHON
76	C6H10	592-46-1	CC=CC=CC	None	355	536	kcRYRO4ASQ	CHON
77	C6H12	592-43-8	CCCC=CC	None	341	511	kcW9DDVLK2	CHON
78	C6H10	592-48-3	CCC=CC=C	None	345	522	kcAA220LGL	CHON
79	C6H12	922-61-2	CCC(=CC)C	None	342	511	kc5YZI29ZI	CHON
80	C7H8	108-88-3	Cc1ccccc1	178	384	592	kc8AR90F1I	CHON
81	C7H14	592-77-8	CCCCC=CC	None	372	545	kcBR1GXGA9	CHON
82	C7H14	592-78-9	CCCC=CCC	None	369	541	kcU79O9TKW	CHON
